timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/11/21 03:29:30.314, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.324, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.334, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.344, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.354, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.364, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.375, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.385, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.395, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.405, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.415, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.425, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.435, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.445, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.456, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.466, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.476, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.486, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.496, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.506, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.516, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.526, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.537, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.547, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.557, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.567, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.577, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.587, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.597, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.607, 0, 40960, 621, 3005, 37332
